"projectId","rescom","id"
"187817","RESIDENTIAL","36047535"
"239182","RESIDENTIAL","189473139"
"28214","RESIDENTIAL","223059091"
"28214","RESIDENTIAL","223059091"
"50502","RESIDENTIAL","140399349"
"260580","RESIDENTIAL","189234191"
"187333","RESIDENTIAL","190854819"
"13058","RESIDENTIAL","222143385"
"13058","RESIDENTIAL","222143385"
"274301","RESIDENTIAL","173615755"
"21132","RESIDENTIAL","188798117"
"269271","RESIDENTIAL","222848089"
"269271","RESIDENTIAL","222848089"
"31116","RESIDENTIAL","189479125"
"339445","RESIDENTIAL","197074649"
"42326","RESIDENTIAL","189474135"
"15272","RESIDENTIAL","188796149"
"30560","RESIDENTIAL","82924565"
"14980","RESIDENTIAL","158166161"
"169813","RESIDENTIAL","129915155"
"124013","RESIDENTIAL","189236907"
"30858","RESIDENTIAL","184722303"
"54958","RESIDENTIAL","58004801"
"9628","RESIDENTIAL","140396171"
"40534","RESIDENTIAL","223625891"
"40534","RESIDENTIAL","223625891"
"173649","RESIDENTIAL","189899135"
"295223","RESIDENTIAL","223058861"
"295223","RESIDENTIAL","223058861"
"223601","RESIDENTIAL","190855081"
"262898","RESIDENTIAL","189477611"
"137351","RESIDENTIAL","189237165"
"145469","RESIDENTIAL","52694512"
"28680","RESIDENTIAL","120572553"
"162909","RESIDENTIAL","155101803"
"138523","RESIDENTIAL","153807295"
"271077","RESIDENTIAL","191086069"
"23338","RESIDENTIAL","188798523"
"71129","RESIDENTIAL","189234985"
"790","COMMERCIAL","15900788"
"28918","RESIDENTIAL","220957913"
"28918","RESIDENTIAL","220957913"
"34350","RESIDENTIAL","189233883"
"4214","RESIDENTIAL","189020713"
"57712","RESIDENTIAL","158165913"
"148107","RESIDENTIAL","189468613"
"9194","RESIDENTIAL","188342645"
"350075","RESIDENTIAL","221932815"
"350075","RESIDENTIAL","221932815"
"7412","RESIDENTIAL","102262799"
"275533","RESIDENTIAL","223059319"
"275533","RESIDENTIAL","223059319"
"217931","RESIDENTIAL","189899185"
"308021","RESIDENTIAL","190206699"
"348203","RESIDENTIAL","213495641"
"348203","RESIDENTIAL","213495641"
"111395","RESIDENTIAL","158163811"
"330801","RESIDENTIAL","201558007"
"272073","RESIDENTIAL","222849413"
"272073","RESIDENTIAL","222849413"
"78191","RESIDENTIAL","159596831"
"36742","RESIDENTIAL","223626911"
"36742","RESIDENTIAL","223626911"
"337397","RESIDENTIAL","202872253"
"267976","RESIDENTIAL","191085959"
"29042","RESIDENTIAL","223056325"
"29042","RESIDENTIAL","223056325"
"58336","RESIDENTIAL","189234629"
"13194","RESIDENTIAL","216617819"
"13194","RESIDENTIAL","216617819"
"278035","RESIDENTIAL","134479157"
"32374","RESIDENTIAL","158162929"
"44018","RESIDENTIAL","190206341"
"164807","RESIDENTIAL","188800189"
"122105","RESIDENTIAL","190853817"
"257601","RESIDENTIAL","191087023"
"82171","RESIDENTIAL","190855263"
"158077","RESIDENTIAL","189477383"
"277571","RESIDENTIAL","219031589"
"277571","RESIDENTIAL","219031589"
"27504","RESIDENTIAL","168732355"
"197255","RESIDENTIAL","141187649"
"68410","RESIDENTIAL","190855207"
"6600","RESIDENTIAL","190851567"
"312429","RESIDENTIAL","223406913"
"312429","RESIDENTIAL","223406913"
"209175","RESIDENTIAL","158160653"
"262404","RESIDENTIAL","222611991"
"262404","RESIDENTIAL","222611991"
"928","COMMERCIAL","31594665"
"334183","RESIDENTIAL","217560867"
"334183","RESIDENTIAL","217560867"
"73377","RESIDENTIAL","223862399"
"73377","RESIDENTIAL","223862399"
"181011","RESIDENTIAL","129915365"
"351207","RESIDENTIAL","223861503"
"351207","RESIDENTIAL","223861503"
"93570","RESIDENTIAL","189235567"
"250961","RESIDENTIAL","190855541"
"223459","RESIDENTIAL","39538945"
"114811","RESIDENTIAL","188339379"
"35008","RESIDENTIAL","223625441"
"35008","RESIDENTIAL","223625441"
"30260","RESIDENTIAL","189233565"
"2888","RESIDENTIAL","223055663"
"2888","RESIDENTIAL","223055663"
"271621","RESIDENTIAL","189479287"
"233750","RESIDENTIAL","189472695"
"258821","RESIDENTIAL","190855983"
"316239","RESIDENTIAL","223405555"
"316239","RESIDENTIAL","223405555"
"12630","RESIDENTIAL","222144771"
"12630","RESIDENTIAL","222144771"
"21954","RESIDENTIAL","188798239"
"33806","RESIDENTIAL","34492611"
"311675","RESIDENTIAL","191087945"
"239","RESIDENTIAL","188791339"
"160415","RESIDENTIAL","189474899"
"134977","RESIDENTIAL","189237137"
"66698","RESIDENTIAL","223860453"
"66698","RESIDENTIAL","223860453"
"107707","RESIDENTIAL","69027843"
"40568","RESIDENTIAL","189472945"
"3023","COMMERCIAL","100042415"
"272869","RESIDENTIAL","189899893"
"40462","RESIDENTIAL","52681730"
"268045","RESIDENTIAL","222850039"
"268045","RESIDENTIAL","222850039"
"107205","RESIDENTIAL","190853599"
"29752","RESIDENTIAL","223056711"
"29752","RESIDENTIAL","223056711"
"262792","RESIDENTIAL","212071435"
"262792","RESIDENTIAL","212071435"
